Name,Latitude,Longitude
Point 1,55.82707,-4.16901
Point 2,55.80649,-4.23576
Point 3,55.81020,-4.24464
Point 4,55.82066,-4.25784
Point 5,55.83737,-4.25613
Point 6,55.83820,-4.25363
Point 7,55.84504,-4.25558
Point 8,55.84512,-4.25821
Point 9,55.83905,-4.26617
Point 10,55.83464,-4.26550
Point 11,55.83595,-4.27007
Point 12,55.83177,-4.27773
Point 13,55.83180,-4.27914
Point 14,55.83186,-4.27924
Point 15,55.83065,-4.28047
Point 16,55.82920,-4.28264
Point 17,55.82865,-4.28306
Point 18,55.82639,-4.26508
Point 19,55.81394,-4.26879
Point 20,55.81255,-4.26996
Point 21,55.81125,-4.27091
Point 22,55.81087,-4.26989
Point 23,55.79697,-4.27203
Point 24,55.79445,-4.27339
Point 25,55.79611,-4.29920
Point 26,55.80205,-4.29615
Point 27,55.80434,-4.29400
Point 28,55.80717,-4.31794
Point 29,55.81273,-4.32469
Point 30,55.78274,-4.34680
Point 31,55.78226,-4.34782
Point 32,55.78272,-4.34871
Point 33,55.78280,-4.34893
Point 34,55.61150,-4.50000
Point 35,55.76138,-4.32864
Point 36,55.78938,-4.27754
Point 37,55.78967,-4.27740
Point 38,55.78971,-4.27743
Point 39,55.78989,-4.27737
Point 40,55.79027,-4.27774
Point 41,55.79005,-4.27688
Point 42,55.79000,-4.27674
Point 43,55.78961,-4.27589
Point 44,55.78960,-4.27603
Point 45,55.78956,-4.27666
Point 46,55.78936,-4.27659
Point 47,55.78902,-4.27707
Point 48,55.78884,-4.27576
Point 49,55.78879,-4.27572
Point 50,55.78857,-4.27538
Point 51,55.78554,-4.27441
Point 52,55.78535,-4.27310
Point 53,55.78434,-4.27512
Point 54,55.78424,-4.27454
Point 55,55.78218,-4.26432
Point 56,55.77671,-4.26993
Point 57,55.75388,-4.23564
Point 58,55.76068,-4.22747
Point 59,55.77016,-4.22536
Point 60,55.82707,-4.16901
